"","Ctrl_sham_surgery_1","Ctrl_sham_surgery_2","Ctrl_sham_surgery_3","Ctrl_sham_surgery_4","Ctrl_sham_surgery_5","Sepsis_induced_surgery_1","Sepsis_induced_surgery_2","Sepsis_induced_surgery_3","Sepsis_induced_surgery_4","Sepsis_induced_surgery_5"
"(2-AMINOETHYL)PHOSPHONATE",-13.06385068,-13.0532958,-13.58513689,-13.05947686,-13.27113663,-13.52074452,-12.80925972,-12.24778029,-12.72418184,-13.12074458
"1-AMINOCYCLOPROPANECARBOXYLATE",-13.60573238,-13.30675375,-13.327835,-13.28283855,-13.32368935,-13.80860219,-13.18963023,-13.392103,-13.27222057,-13.27990422
"1-METHYL-L-HISTIDINE",-11.62291761,-12.20927432,-12.20695706,-11.90774692,-11.34126908,-11.6738237,-11.49703756,-11.47923745,-10.7036056,-10.58446416
"1,3-DIAMINOPROPANE",-18.15551705,-14.55257442,-15.59849984,-15.91402407,-14.61465019,-17.12591857,-14.75247835,-16.30857965,-14.86881777,-14.53153386
"2-ACETAMIDO-2-DEOXY-BETA-D-GLUCOSYLAMINE",-14.03657598,-13.22798206,-13.37087077,-13.40012207,-14.65640313,-14.033049,-14.07512224,-14.15639623,-13.77552585,-13.88214471
"2-AMINOISOBUTYRATE",-10.62626248,-10.46250228,-10.59922484,-10.36199098,-10.65330882,-10.11216204,-10.21991719,-9.53332326,-9.712348672,-10.25996937
"2-DEOXY-D-GLUCOSE",-13.24187962,-12.89734958,-13.57250463,-13.69643263,-13.26151036,-13.37103107,-13.43858757,-14.04254275,-14.03746565,-13.30881691
"2-HYDROXY-4-(METHYLTHIO)BUTANOATE",-10.9526319,-10.74413117,-10.99795802,-10.78623257,-9.931636089,-10.26739449,-11.17242455,-10.68434643,-11.0768101,-11.44924696
"2-HYDROXYBUTYRATE",-8.221291521,-8.27721258,-8.339313749,-8.504648073,-8.379342791,-7.361048503,-6.988159199,-5.0977828,-5.900597427,-6.836451593
"2-HYDROXYPHENYLACETATE",-7.622660499,-7.766700407,-7.651039383,-7.804941907,-7.729765989,-7.49613981,-7.430185331,-7.46667656,-7.402724211,-7.411335328
"2-KETO-3-DEOXY-D-GLUCONIC ACID",-11.7341334,-11.48390282,-11.85335127,-11.7597676,-11.92430975,-11.22640192,-11.75362389,-12.11198998,-12.16469028,-11.65723448
"2-METHOXYETHANOL",-17.71257356,-16.90413875,-18.49233429,-18.45276355,-17.61236564,-17.27111649,-16.66366908,-15.05459038,-15.76190257,-15.51122977
"2-OXOBUTANOATE",-13.17895293,-13.59451225,-13.70884932,-13.09997449,-13.85140362,-13.25319458,-13.11504842,-13.30767825,-14.30939036,-13.2137011
"2-QUINOLINECARBOXYLATE",-13.43356344,-12.77019686,-13.60243984,-13.12305811,-13.08246564,-14.2334242,-15.16751584,-14.83869367,-14.83990508,-14.74674962
"2,4-DIHYDROXYPTERIDINE",-10.82852588,-10.74369646,-10.52936014,-10.70402673,-10.45389975,-10.77155195,-10.78157358,-11.20907403,-11.40249976,-11.68290599
"3-(2-HYDROXYPHENYL)PROPANOATE",-2.697509133,-2.877847533,-2.799187957,-2.879066063,-2.966787074,-2.662572411,-2.970905554,-2.81556128,-2.803730536,-2.747273463
"3-ALPHA,11-BETA,17,21-TETRAHYDROXY- 5-BETA-PREGNAN-20-ONE",-14.18514144,-13.56801816,-14.27416781,-12.60198341,-13.03805928,-12.32882732,-11.81775422,-11.16838581,-10.51926509,-11.08982945
"3-AMINO-4-HYDROXYBENZOATE",-14.32065641,-13.24228399,-14.6026182,-14.10752297,-15.24444737,-14.48320845,-14.43625737,-15.40866529,-14.96952778,-15.35648183
